42,1.353514R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
43,4.357702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
44,4.870876R_{hombiscale}+R_{hombioffsetx},0.010000R_{hombiscale}+R_{hombioffsety},-8.517363R_{hombiscale}+R_{hombioffsetz}
45,-2.163854R_{hombiscale}+R_{hombioffsetx},4.357702R_{hombiscale}+R_{hombioffsety},-8.517363R_{hombiscale}+R_{hombioffsetz}
46,1.353514R_{hombiscale}+R_{hombioffsetx},5.701216R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
47,3.527362R_{hombiscale}+R_{hombioffsetx},-4.850876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
48,5.701216R_{hombiscale}+R_{hombioffsetx},1.353514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
49,5.701216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
50,-2.163854R_{hombiscale}+R_{hombioffsetx},4.357702R_{hombiscale}+R_{hombioffsety},-8.517363R_{hombiscale}+R_{hombioffsetz}
51,4.870876R_{hombiscale}+R_{hombioffsetx},0.010000R_{hombiscale}+R_{hombioffsety},-8.517363R_{hombiscale}+R_{hombioffsetz}
52,5.701216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-6.343514R_{hombiscale}+R_{hombioffsetz}
53,1.353514R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-10.691216R_{hombiscale}+R_{hombioffsetz}
54,-2.163854R_{hombiscale}+R_{hombioffsetx},-4.337702R_{hombiscale}+R_{hombioffsety},-1.482638R_{hombiscale}+R_{hombioffsetz}
55,2.183854R_{hombiscale}+R_{hombioffsetx},-4.337702R_{hombiscale}+R_{hombioffsety},-1.482638R_{hombiscale}+R_{hombioffsetz}
56,-4.337702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-7.173854R_{hombiscale}+R_{hombioffsetz}
57,-4.337702R_{hombiscale}+R_{hombioffsetx},3.527362R_{hombiscale}+R_{hombioffsety},-2.826146R_{hombiscale}+R_{hombioffsetz}
58,3.527362R_{hombiscale}+R_{hombioffsetx},-2.163854R_{hombiscale}+R_{hombioffsety},-0.652298R_{hombiscale}+R_{hombioffsetz}
59,2.183854R_{hombiscale}+R_{hombioffsetx},-4.337702R_{hombiscale}+R_{hombioffsety},-1.482638R_{hombiscale}+R_{hombioffsetz}
60,3.527362R_{hombiscale}+R_{hombioffsetx},-4.850876R_{hombiscale}+R_{hombioffsety},-5.000000R_{hombiscale}+R_{hombioffsetz}
61,5.701216R_{hombiscale}+R_{hombioffsetx},-1.333514R_{hombiscale}+R_{hombioffsety},-3.656486R_{hombiscale}+R_{hombioffsetz}
